Model,Experiment,bpp,ppl_wikitext2,ppl_c4,hellaswag,mathqa,openbookqa,pubmedqa,sciq,zeroshot,commonsense,average9,mmlu,average6,qat,mse,average,ppl_ptb,proxy_err,mse_normed,lambda,arc_challenge,arc_easy,boolq,piqa,winogrande,bpp_key
Gemma3-4B,QTIP_no_e2e,3.0,11.861720085144045,16.078960418701172,0.5483967337183828,,,,,0.7039742963447526,0.678044702573691,,0.5534824099131178,,,0.0,,,0.0,0.0,3.0,0.4726962457337884,0.7975589225589226,0.7865443425076453,0.7850924918389554,0.6779794790844514,3.0
Gemma3-4B,QTIP_no_e2e,4.0,11.086795806884766,15.267918586730955,0.5613423620792671,,,,,0.7174910194617273,0.6914662432313173,,0.572639225181598,,,0.0,,,0.0,0.0,4.0,0.4965870307167235,0.8156565656565656,0.7859327217125383,0.7899891186071817,0.6992896606156275,4.0
Gemma3-4B,QTIP_no_e2e,5.0,10.89631175994873,15.08681869506836,0.5651264688309102,,,,,0.7194202958827585,0.6937046580407839,,0.577410625267056,,,0.0,,,0.0,0.0,5.0,0.5068259385665529,0.8097643097643098,0.7972477064220184,0.7910772578890098,0.6921862667719021,5.0
Gemma3-4B,QTIP_no_e2e,6.0,10.888521194458008,15.064964294433594,0.5638319059948218,,,,,0.7200431214426883,0.6940079188680439,,0.5725680102549494,,,0.0,,,0.0,0.0,6.0,0.5051194539249146,0.8143939393939394,0.7908256880733945,0.7921653971708379,0.6977111286503551,6.0
Gemma3-4B,QTIP_no_ft,2,17.72249984741211,22.37457847595215,0.469627564230233,,,,,0.6369804873822711,0.609088333523598,,0.4062099416037601,,,0.0,,,0.0,0.0,2,0.3822525597269625,0.7314814814814815,0.6978593272171254,0.735582154515778,0.6377269139700079,2.0
Gemma3-4B,QTIP_no_ft,3,11.947521209716797,16.438173294067383,0.5473013343955387,,,,,0.7023985526580707,0.6765490162809821,,0.5581113801452785,,,0.0,,,0.0,0.0,3,0.4778156996587031,0.8026094276094277,0.7810397553516819,0.779651795429815,0.6708760852407262,3.0
Gemma3-4B,QTIP_no_ft,4,11.1909761428833,15.40975284576416,0.5613423620792671,,,,,0.7150706089327674,0.689449234457184,,0.5708588520153824,,,0.0,,,0.0,0.0,4,0.4914675767918088,0.8097643097643098,0.7935779816513762,0.7883569096844396,0.6921862667719021,4.0
Gemma3-4B,QTIP_no_ft,5,11.016871452331545,15.224414825439451,0.5656243776140211,,,,,0.7185881614924654,0.6930941975127247,,0.5736362341546788,,,0.0,,,0.0,0.0,5,0.5017064846416383,0.8106060606060606,0.7963302752293578,0.7905331882480957,0.6937647987371744,5.0
Gemma3-4B,QTIP_no_ft,6,11.01202392578125,15.234174728393556,0.5644293965345548,,,,,0.7175893587191429,0.6920626983550449,,0.5712149266486255,,,0.0,,,0.0,0.0,6,0.5,0.8148148148148148,0.790519877675841,0.7872687704026116,0.6953433307024467,6.0
Gemma3-4B,gemma-3-4b-pt,base,10.75752067565918,14.966899871826172,0.5685122485560645,,,,,0.7218372709710483,0.696283100568551,,0.579689502919812,,,0.0,,,0.0,0.0,base,0.5127986348122867,0.8148148148148148,0.7920489296636085,0.7894450489662677,0.7000789265982637,base
Gemma3-4B,gemma-3-4b-pt_ql_ldlq128_normalization_search_ft,2.3002019514445387,18.74651527404785,23.20950126647949,0.457876916948815,,,,,0.6446176755467984,0.6134942157804678,,0.4403931063951004,,,2.3503989618067115e-05,,,0.0046450304380567,0.0769308077999287,30.0,0.3694539249146757,0.7407407407407407,0.7406727828746177,0.73449401523395,0.6377269139700079,2.300202
Gemma3-4B,gemma-3-4b-pt_ql_ldlq128_normalization_search_ft,2.66846072782878,13.850979804992676,18.20095443725586,0.5127464648476399,,,,,0.677825173124884,0.6503120550786766,,0.507406352371457,,,1.4183594688901828e-05,,,0.002784915971193,0.0463916321187675,50.0,0.4240614334470989,0.7710437710437711,0.7605504587155963,0.764961915125136,0.6685082872928176,2.668461
Gemma3-4B,gemma-3-4b-pt_ql_ldlq128_normalization_search_ft,3.1667333616929896,12.286150932312012,16.39959144592285,0.5399322844054969,,,,,0.703155197333829,0.6759513785124404,,0.5525566158666857,,,7.122012974686976e-06,,,0.0013932959589801,0.0232900691300849,100.0,0.4820819112627986,0.8072390572390572,0.7850152905198777,0.7752992383025027,0.6661404893449092,3.166733
Gemma3-4B,gemma-3-4b-pt_ql_ldlq128_normalization_search_ft,3.95525540401733,11.103886604309082,15.31318187713623,0.5619398526190001,,,,,0.717444542499069,0.6915270941857242,,0.5707876370887338,,,2.402747504843177e-06,,,0.0004725755961084,0.0078550053096918,300.0,0.5051194539249146,0.8156565656565656,0.7819571865443425,0.7883569096844396,0.6961325966850829,3.955255
Gemma3-4B,gemma-3-4b-pt_ql_ldlq128_normalization_search_ft,4.781503713208865,10.91430950164795,15.139165878295898,0.5668193586934873,,,,,0.7178458458345451,0.6926747646443688,,0.5740635237145706,,,7.707841556764587e-07,,,0.0001552519868847,0.0025180672619528,1000.0,0.507679180887372,0.8156565656565656,0.789296636085627,0.7883569096844396,0.6882399368587214,4.781504
Gemma3-4B,gemma-3-4b-pt_ql_ldlq128_normalization_search_ft,5.985789392197054,10.787154197692873,14.940431594848633,0.5680143397729536,,,,,0.7199877305315706,0.6946588320718011,,0.5754166073208945,,,1.8233458231427417e-07,,,4.0269222394914215e-05,0.0005946677208389,10000.0,0.5110921501706485,0.8181818181818182,0.7871559633027523,0.7905331882480957,0.6929755327545383,5.985789
Llama2-13B,AWQ,2.25,124196.2265625,96497.46875,,,,,,0.4297841989689986,0.4011562210421798,,0.2689075630252101,,,,,,,,,,,,,,2.25
Llama2-13B,AWQ,3.25,5.321292877197266,6.950444221496582,,,,,,0.7025206362611002,0.6830239850406598,,0.4896738356359493,,,,,,,,,,,,,,3.25
Llama2-13B,AWQ,4.25,4.9757466316223145,6.557677745819092,,,,,,0.7167291245878962,0.6969390119092854,,0.511038313630537,,,,,,,,,,,,,,4.25
Llama2-13B,AWQ,5.25,4.910181999206543,6.489396572113037,,,,,,0.7187902494357408,0.6991379277728299,,0.5155248540094004,,,,,,,,,,,,,,5.25
Llama2-13B,AWQ,6.25,4.889833450317383,6.472911357879639,,,,,,0.7194516227707866,0.6996890722187014,,0.5228599914542088,,,,,,,,,,,,,,6.25
Llama2-13B,AWQ,7.25,4.885225296020508,6.468842029571533,,,,,,0.719422147519684,0.6996645095094493,,0.5213644779945876,,,,,,,,,,,,,,7.25
Llama2-13B,AWQ,8.25,4.884011268615723,6.468070983886719,,,,,,0.7190653944712553,,,,,,,,,,,,,,,,,8.25
Llama2-13B,BitDistiller,2.25,6.78,,,,,,,,,,,,,,,,,,,,,,,,2.25
Llama2-13B,BitDistiller,3.25,5.2,,,,,,,,,,,,,,,,,,,,,,,,3.25
Llama2-13B,FP16,,4.883530616760254,6.467609882354736,,,,,,0.7191909261106241,,,,,,,,,,,,,,,,,nan
Llama2-13B,GPTQ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Llama2-13B,GPTQ,3.0,5.521871089935303,7.121087074279785,,,,,,,,,,,,,,,,,,,,,,,3.0
Llama2-13B,GPTQ,4.0,5.00111198425293,6.575009822845459,,,,,,,,,,,,,,,,,,,,,,,4.0
Llama2-13B,GPTQ,8.0,4.882187366485596,6.467852592468262,,,,,,,,,,,,,,,,,,,,,,,8.0
Llama2-13B,LLM-QAT,2.25,7.8,,,,,,,,,,,,,,,,,,,,,,,,2.25
Llama2-13B,LLM-QAT,3.25,5.32,,,,,,,,,,,,,,,,,,,,,,,,3.25
Llama2-13B,NWC,3.3001,5.243,,,,,,,,,,,,,,,,,,,,,,,,3.3001
Llama2-13B,NWC,3.7982,5.028,,,,,,,,,,,,,,,,,,,,,,,,3.7982
Llama2-13B,NWC,4.297,4.965,,,,,,,,,,,,,,,,,,,,,,,,4.297
Llama2-13B,NWC,5.4459,4.901,,,,,,,,,,,,,,,,,,,,,,,,5.4459
Llama2-13B,NWC,6.451,4.896,,,,,,,,,,,,,,,,,,,,,,,,6.451
Llama2-13B,NWC,6.6196,4.896,,,,,,,,,,,,,,,,,,,,,,,,6.6196
Llama2-13B,NWC_ql_ldlq128_rnorm_ft,2.3119511524212264,5.626650810241699,7.28828763961792,,,,,,0.6937885821285307,,,,,,,,,,,,,,,,,2.311951
Llama2-13B,NWC_ql_ldlq128_rnorm_ft,2.677647008176677,5.249279022216797,6.863762855529785,,,,,,0.7019979111578318,,,,,,,,,,,,,,,,,2.677647
