Model,Experiment,bpp,ppl_wikitext2,ppl_c4,hellaswag,mathqa,openbookqa,pubmedqa,sciq,zeroshot,commonsense,average9,mmlu,average6,qat,mse,average,ppl_ptb,proxy_err,mse_normed,lambda,arc_challenge,arc_easy,boolq,piqa,winogrande,bpp_key
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm,5.973140011158986,270.60760498046875,209.64129638671875,0.4178450507866958,,,,,0.6799636197110441,0.6362771915569861,,0.5518444666001994,,,0.0021048122619725,,,0.0002055743102922,,10000,0.4488054607508532,0.7710437710437711,0.7663608562691131,0.7529923830250272,0.6606156274664562,5.97314
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_ft,2.203443397717737,746.6712036132812,665.872802734375,0.2924716191993626,,,,,0.4967042531695987,0.4626654808412261,,0.2832217632815838,,,0.2662617299223127,,,0.0258662775492802,,30,0.227815699658703,0.4814814814814814,0.634862385321101,0.6137105549510338,0.5256511444356748,2.203443
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_ft,2.5786760287770365,455.7182922363281,460.6457824707031,0.3222465644293965,,,,,0.5831456115345136,0.5396624370169941,,0.4514314200256373,,,0.1612327872784796,,,0.0155465914673089,,50,0.3267918088737201,0.6422558922558923,0.689908256880734,0.6719260065288357,0.584846093133386,2.578676
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_ft,3.0768870667294177,744.3416748046875,568.8215942382812,0.3462457677753435,,,,,0.6130614730364327,0.5685921888262512,,0.5420880216493377,,,0.0788565447087048,,,0.0078652804715804,,100,0.3728668941979522,0.7104377104377104,0.6581039755351682,0.705114254624592,0.6187845303867403,3.076887
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_ft,3.8864062451748826,550.4379272460938,475.2682495117188,0.3812985461063533,,,,,0.6452435270412927,0.6012526968854695,,0.5274889616863695,,,0.0286869867360696,,,0.0027718336501924,,300,0.4138225255972696,0.7474747474747475,0.6957186544342507,0.7306855277475517,0.6385161799526441,3.886406
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_ft,4.752676118927205,523.12548828125,422.6220397949219,0.3737303326030671,,,,,0.6615512046000016,0.6135810592671792,,0.5495655889474433,,,0.0093526778604762,,,0.0009128458562851,,1000,0.454778156996587,0.7592592592592593,0.7051987767584098,0.7421109902067464,0.6464088397790055,4.752676
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_ft,5.966065236083928,545.058349609375,409.9820251464844,0.3664608643696475,,,,,0.6575791236960813,0.6090594138083424,,0.4966528984475146,,,0.0022879303951534,,,0.0002391741446491,,10000,0.4462457337883959,0.7537878787878788,0.7061162079510703,0.736126224156692,0.6456195737963694,5.966065
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed2,2.284152036769333,,232.50543212890625,0.3814977096195976,,,,,0.6290087317277768,0.587756894709747,,0.4619712291696339,,,0.2568111374323296,,,0.0258542634859851,,30,0.3651877133105802,0.7125420875420876,0.7211009174311926,0.7116430903155604,0.6345698500394633,2.284152
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed2,2.6473612713783026,,208.20037841796875,0.3931487751443935,,,,,0.6537077172524175,0.6102812269010801,,0.504771400085458,,,0.1552388724870427,,,0.0156255370925881,,50,0.4138225255972696,0.7462121212121212,0.7235474006116208,0.7377584330794341,0.6471981057616417,2.647361
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm_seed2,3.145763039791959,,213.9980316162109,0.4070902210714997,,,,,0.6531128781691943,0.6121091019862451,,0.5148839196695627,,,0.07597568741534,,,0.0076621482229302,,100,0.4138225255972696,0.7542087542087542,0.7091743119266055,0.7372143634385201,0.6511444356748224,3.145763
