/opt/conda/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
11:40:49 INFO - test: File name: 262, MSE: 0.18157469783652516, BPP: 2.140625
11:40:49 INFO - test: File name: 263, MSE: 0.17109002525024644, BPP: 2.1171875
11:40:49 INFO - test: File name: 264, MSE: 0.19123107025688485, BPP: 2.1796875
11:40:50 INFO - test: File name: 265, MSE: 0.19423290620358774, BPP: 2.15625
11:40:50 INFO - test: File name: 266, MSE: 0.20264389269227231, BPP: 2.15625
11:40:50 INFO - test: File name: 267, MSE: 0.1615796711394161, BPP: 2.0
11:40:50 INFO - test: File name: 268, MSE: 0.19234752318822504, BPP: 2.171875
11:40:50 INFO - test: File name: 269, MSE: 0.15260676578899754, BPP: 1.90625
11:40:51 INFO - test: File name: 270, MSE: 0.18755610594921976, BPP: 2.1796875
11:40:51 INFO - test: File name: 271, MSE: 0.18359614336758567, BPP: 2.1484375
11:40:51 INFO - test: File name: 272, MSE: 0.20574957158013024, BPP: 2.234375
11:40:51 INFO - test: File name: 273, MSE: 0.16360567518413574, BPP: 1.96875
11:40:51 INFO - test: File name: 274, MSE: 0.1485964042803481, BPP: 1.8359375
11:40:52 INFO - test: File name: 275, MSE: 0.1763305654890041, BPP: 2.1640625
11:40:52 INFO - test: File name: 276, MSE: 0.16113426788680954, BPP: 1.984375
11:40:52 INFO - test: File name: 277, MSE: 0.1816175843330303, BPP: 2.15625
11:40:52 INFO - test: File name: 278, MSE: 0.1861048940088075, BPP: 2.140625
11:40:53 INFO - test: File name: 279, MSE: 0.18610113779355236, BPP: 2.125
11:40:53 INFO - test: File name: 280, MSE: 0.20062148075631606, BPP: 2.21875
11:40:53 INFO - test: File name: 281, MSE: 0.19281973050114729, BPP: 2.15625
11:40:53 INFO - test: File name: 282, MSE: 0.18043526999634296, BPP: 2.171875
11:40:53 INFO - test: File name: 283, MSE: 0.18333342710838255, BPP: 2.140625
11:40:54 INFO - test: File name: 284, MSE: 0.17906818998402366, BPP: 2.15625
11:40:54 INFO - test: File name: 285, MSE: 0.1737717076656411, BPP: 2.125
11:40:54 INFO - test: File name: 286, MSE: 0.18851454256307976, BPP: 2.078125
11:40:54 INFO - test: File name: 287, MSE: 0.1831044073821477, BPP: 2.125
11:40:54 INFO - test: File name: 288, MSE: 0.19455152807430648, BPP: 2.1953125
11:40:55 INFO - test: File name: 289, MSE: 0.16515159480433014, BPP: 1.9609375
11:40:55 INFO - test: File name: 290, MSE: 0.1771657581275758, BPP: 2.1171875
11:40:55 INFO - test: File name: 291, MSE: 0.18761584071220905, BPP: 2.1953125
11:40:55 INFO - test: File name: 292, MSE: 0.2134614097118863, BPP: 2.28125
11:40:55 INFO - test: File name: 293, MSE: 0.1779167641358906, BPP: 2.1796875
11:40:56 INFO - test: File name: 294, MSE: 0.1910141214748194, BPP: 2.2578125
11:40:56 INFO - test: File name: 295, MSE: 0.22243130644328984, BPP: 2.3046875
11:40:56 INFO - test: File name: 296, MSE: 0.18807619588961755, BPP: 2.171875
11:40:56 INFO - test: File name: 297, MSE: 0.1693281779550462, BPP: 2.0859375
11:40:57 INFO - test: File name: 298, MSE: 0.19792840205677356, BPP: 2.1640625
11:40:57 INFO - test: File name: 299, MSE: 0.17532683548342695, BPP: 2.078125
11:40:57 INFO - test: Average_MSE: 0.1874444070479651, Average_Bit-rate: 2.146640625 bpp
11:40:59 INFO - test: File name: 0, MSE: 0.1665038687642846, BPP: 2.5390625
11:40:59 INFO - test: File name: 0, MSE: 0.1665038687642846, BPP: 2.5390625
11:40:59 INFO - test: File name: 1, MSE: 0.16855049552479814, BPP: 2.609375
11:40:59 INFO - test: File name: 1, MSE: 0.16855049552479814, BPP: 2.609375
