col,sigma_c,no_transform_PR,scaling_PR,rht_PR,learned_llama_PR,learned_gauss_PR,random_init_PR
245,0.012934764,1.0,1.0,16.0,8.284260749816895,11.09079647064209,11.063459396362305
246,0.87631315,1.0,1.0,16.0,6.4041266441345215,11.555843353271484,10.630252838134766
247,0.844059,1.0,1.0,16.0,5.126204013824463,11.327390670776367,11.508549690246582
248,1.5450609,1.0,1.0,16.0,9.430330276489258,10.717059135437012,10.564593315124512
249,0.05962675,1.0,1.0,16.0,5.103621006011963,10.70937728881836,10.33329963684082
250,0.73628557,1.0,1.0,16.0,12.721691131591797,9.989179611206055,10.622270584106445
251,0.27967134,1.0,1.0,16.0,5.756613731384277,10.667866706848145,11.549032211303711
252,0.60857826,1.0,1.0,16.0,9.738608360290527,10.866727828979492,10.49792766571045
253,0.8401251,1.0,1.0,16.0,6.444605350494385,9.53833293914795,11.302620887756348
254,0.86425173,1.0,1.0,16.0,9.989982604980469,10.966365814208984,10.952729225158691
255,1.4848325,1.0,1.0,16.0,8.995986938476562,11.355576515197754,10.160224914550781
256,0.6639701,1.0,1.0,16.0,7.539170742034912,9.819518089294434,10.449518203735352
257,1.3204751,1.0,1.0,16.0,5.204722881317139,12.998784065246582,10.707584381103516
258,0.012200895,1.0,1.0,16.0,5.766841411590576,9.994207382202148,11.41656494140625
259,1.5604464,1.0,1.0,16.0,8.393394470214844,8.566373825073242,10.944900512695312
260,1.59395,1.0,1.0,16.0,7.800177574157715,11.216071128845215,10.412906646728516
261,0.8083366,1.0,1.0,16.0,8.31873607635498,11.10649299621582,10.967826843261719
262,0.76507527,1.0,1.0,16.0,6.411149501800537,11.534175872802734,10.879180908203125
263,1.6583656,1.0,1.0,16.0,5.120391845703125,11.34138011932373,11.528718948364258
264,2.7634711,1.0,1.0,16.0,9.43415641784668,10.721834182739258,10.479399681091309
265,0.5840449,1.0,1.0,16.0,5.1370530128479,10.722064018249512,10.222012519836426
266,1.2368337,1.0,1.0,16.0,12.734519958496094,9.984062194824219,10.130011558532715
267,0.17662965,1.0,1.0,16.0,5.749531269073486,10.661911010742188,11.698099136352539
268,1.0709397,1.0,1.0,16.0,9.754959106445312,10.892669677734375,10.781265258789062
269,0.011234594,1.0,1.0,16.0,6.432546138763428,9.543695449829102,11.40590763092041
270,0.011021716,1.0,1.0,16.0,9.988259315490723,10.945514678955078,11.14832878112793
271,0.010074478,1.0,1.0,16.0,8.988361358642578,11.360322952270508,10.338279724121094
272,0.7495334,1.0,1.0,16.0,7.527743339538574,9.815659523010254,10.187196731567383
273,0.010081523,1.0,1.0,16.0,5.201398849487305,13.048200607299805,10.749690055847168
274,0.19448589,1.0,1.0,16.0,5.773482799530029,9.963098526000977,10.784402847290039
275,0.8331354,1.0,1.0,16.0,8.399658203125,8.541071891784668,11.105956077575684
276,0.8300944,1.0,1.0,16.0,7.798942565917969,11.209516525268555,10.60660171508789
277,0.017068978,1.0,1.0,16.0,8.295921325683594,11.086342811584473,10.854275703430176
278,0.8802532,1.0,1.0,16.0,6.401950359344482,11.553197860717773,10.659286499023438
279,0.019289745,1.0,1.0,16.0,5.12773323059082,11.323442459106445,11.359077453613281
280,0.046861906,1.0,1.0,16.0,9.434605598449707,10.708463668823242,10.113724708557129
281,1.2413223,1.0,1.0,16.0,5.121228218078613,10.719048500061035,10.434368133544922
282,0.6869732,1.0,1.0,16.0,12.7361421585083,9.97309398651123,10.476101875305176
283,1.9197989,1.0,1.0,16.0,5.756030559539795,10.663190841674805,11.620019912719727
284,0.9067611,1.0,1.0,16.0,9.741096496582031,10.880273818969727,10.484786033630371
285,0.16131635,1.0,1.0,16.0,6.447458744049072,9.537246704101562,11.180094718933105
286,0.16858429,1.0,1.0,16.0,9.993103981018066,10.968904495239258,11.11828327178955
287,0.06620366,1.0,1.0,16.0,8.992842674255371,11.357210159301758,10.40970230102539
288,0.016666204,1.0,1.0,16.0,7.531135559082031,9.821402549743652,10.820945739746094
289,0.09606406,1.0,1.0,16.0,5.202347755432129,13.042287826538086,10.472286224365234
290,1.9287448,1.0,1.0,16.0,5.767984867095947,9.975593566894531,10.956829071044922
291,1.554575,1.0,1.0,16.0,8.392268180847168,8.545369148254395,10.935786247253418
292,0.0102903815,1.0,1.0,16.0,7.791888236999512,11.20783805847168,10.620759010314941
293,0.3219084,1.0,1.0,16.0,8.29947566986084,11.093877792358398,10.922721862792969
294,1.4973122,1.0,1.0,16.0,6.409428596496582,11.551736831665039,10.626250267028809
295,0.01923725,1.0,1.0,16.0,5.120556831359863,11.327865600585938,11.540750503540039
296,0.9269434,1.0,1.0,16.0,9.423786163330078,10.71208381652832,10.761387825012207
297,1.5013685,1.0,1.0,16.0,5.129271030426025,10.711952209472656,10.286710739135742
